Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Vehicle_condition,multiple_deliveries,Time_order_hour,Time_order_min,Time_order_picked_hour,Time_order_picked_min,Weather_conditions,Road_traffic_density,Festival,City,Time_taken (min)
25004,31.0,4.5,23.353783,85.326967,23.393783,85.366967,2,1.0,16.0,40.0,16.0,55.0,Windy,Medium,No,Metropolitian,28
39859,34.0,5.0,26.849596,75.800512,26.989596,75.940512,0,1.0,23.0,25.0,23.0,40.0,Fog,Low,No,Metropolitian,39
31283,21.0,4.7,22.725748,75.898497,22.815748,75.988497,0,1.0,20.0,45.0,20.0,50.0,Sandstorms,Jam,No,Metropolitian,28
41396,33.0,4.9,26.914142,75.805704,26.924142,75.815704,2,1.0,10.0,25.0,10.0,35.0,Sandstorms,Low,No,Metropolitian,27
30154,38.0,4.3,17.483216,78.552111,17.553216,78.622111,2,1.0,19.0,25.0,19.0,40.0,Windy,Jam,No,Metropolitian,44
10963,38.0,4.5,12.284747,76.625861,12.344747,76.685861,2,0.0,21.0,55.0,0.916666667,30.0,Windy,Jam,No,Metropolitian,28
11070,22.0,4.9,12.326356,76.619103,12.336356,76.629103,1,1.0,10.0,30.0,10.0,40.0,Sandstorms,Low,No,Metropolitian,19
9966,36.0,4.7,30.899992,75.831338,30.979992,75.911338,2,0.0,0.791666667,35.0,19.0,5.0,Sandstorms,Medium,No,Metropolitian,27
39095,29.0,4.3,19.254567,72.848923,19.274567,72.868923,0,1.0,9.0,40.0,9.0,55.0,Sandstorms,Low,No,Metropolitian,20
15416,36.0,4.6,18.927584,72.832585,18.997584,72.902585,1,1.0,21.0,10.0,21.0,20.0,Fog,Jam,No,Urban,35
44457,31.0,4.8,26.902328,75.794257,26.952328,75.844257,2,0.0,23.0,15.0,23.0,25.0,Cloudy,Low,No,Metropolitian,16
19965,36.0,4.8,0.0,0.0,0.09,0.09,0,2.0,17.0,55.0,18.0,5.0,Cloudy,Medium,No,Metropolitian,41
15124,22.0,5.0,26.90294,75.793007,26.94294,75.833007,1,0.0,15.0,45.0,0.666666667,30.0,Fog,Medium,No,Urban,19
1787,33.0,4.8,22.311844,73.165081,22.351844,73.205081,0,1.0,13.0,50.0,0.583333333,30.0,Fog,High,No,Metropolitian,26
9284,38.0,5.0,18.554382,73.798206,18.634382,73.878206,2,2.0,17.0,25.0,17.0,35.0,Cloudy,Medium,No,Metropolitian,36
21369,20.0,5.0,11.008638,76.984311,11.098638,77.074311,1,1.0,17.0,45.0,17.0,50.0,Windy,Medium,No,Metropolitian,29
965,39.0,4.9,26.891191,75.802083,26.911191,75.822083,2,1.0,10.0,25.0,10.0,30.0,Fog,Low,No,Metropolitian,19
21412,37.0,4.5,23.355164,85.324097,23.445164,85.414097,2,1.0,18.0,40.0,18.0,55.0,Sunny,Medium,No,Metropolitian,17
21876,25.0,4.8,17.426228,78.407495,17.486228,78.467495,2,0.0,20.0,55.0,21.0,5.0,Sandstorms,Jam,No,Metropolitian,13
32136,30.0,4.7,13.081878,80.248519,13.101878,80.268519,3,0.0,18.0,35.0,11.0,55.0,Stormy,Medium,No,Metropolitian,36
40408,26.0,4.9,11.003008,76.97544,11.133009,77.10544,1,1.0,19.0,50.0,20.0,5.0,Stormy,Jam,No,Metropolitian,24
24479,25.0,4.8,13.064181,80.236442,13.104181,80.276442,1,1.0,15.0,55.0,16.0,5.0,Stormy,Medium,No,Metropolitian,23
41671,20.0,5.0,11.001852,76.976268,11.011852,76.986268,2,1.0,11.0,45.0,0.5,30.0,Fog,High,No,Metropolitian,32
33934,36.0,4.2,12.978453,77.643685,13.108453,77.773685,2,1.0,21.0,25.0,21.0,30.0,Cloudy,Jam,No,Metropolitian,36
6919,28.0,4.6,23.351058,85.325731,23.391058,85.365731,2,1.0,0.708333333,35.0,17.0,15.0,Sunny,Medium,No,Urban,11
25151,28.0,4.7,18.53408,73.89852,18.54408,73.90852,2,1.0,9.0,50.0,9.0,55.0,Sunny,Low,No,Metropolitian,23
44628,29.0,4.6,11.024839,77.007003,11.104839,77.087003,0,1.0,19.0,30.0,19.0,35.0,Fog,Jam,No,Metropolitian,38
15130,30.0,4.8,22.761593,75.886362,22.891593,76.016362,1,1.0,18.0,30.0,18.0,45.0,Sandstorms,Medium,No,Metropolitian,25
37207,34.0,5.0,22.761593,75.886362,22.841593,75.966362,0,1.0,21.0,15.0,21.0,20.0,Windy,Jam,No,Metropolitian,36
37732,30.0,4.7,26.482419,80.320939,26.622419,80.460939,0,1.0,18.0,35.0,21.0,50.0,Fog,Jam,No,Semi-Urban,50
35074,34.0,4.6,26.471529,80.313458,26.601529,80.443458,0,0.0,20.0,10.0,20.0,20.0,Fog,Jam,No,Metropolitian,54
20635,23.0,4.7,18.554382,73.798206,18.644382,73.888206,2,1.0,22.0,10.0,22.0,20.0,Fog,Low,No,Metropolitian,20
13868,37.0,4.7,23.355164,85.324097,23.435164,85.404097,2,0.0,1.0,35.0,24.0,10.0,Sunny,Low,No,Metropolitian,28
23283,32.0,3.5,19.22384,72.841347,19.29384,72.911347,1,0.0,18.0,50.0,18.0,55.0,Sandstorms,Medium,No,Metropolitian,37
27269,26.0,5.0,30.885915,75.788259,31.015915,75.918259,1,1.0,20.0,40.0,20.0,55.0,Fog,Jam,No,Metropolitian,39
3700,27.0,4.6,9.979363,76.285001,10.069363,76.375001,0,1.0,18.0,50.0,19.0,5.0,Windy,Medium,No,Urban,21
9431,28.0,4.7,17.431477,78.40035,17.541477,78.51035,0,0.0,19.0,10.0,19.0,15.0,Fog,Jam,No,Semi-Urban,49
21767,22.0,4.7,0.0,0.0,0.07,0.07,1,1.0,23.0,35.0,23.0,40.0,Fog,Low,No,Urban,27
24380,20.0,4.7,12.986047,80.218114,13.006047,80.238114,1,1.0,10.0,15.0,10.0,20.0,Windy,Low,No,Metropolitian,17
9404,24.0,4.9,18.554382,73.798206,18.644382,73.888206,0,1.0,23.0,55.0,24.0,5.0,Cloudy,Low,No,Metropolitian,24
16527,33.0,4.8,12.975996,80.221898,13.025996,80.271898,1,1.0,21.0,50.0,22.0,5.0,Sunny,Jam,No,Urban,22
32312,22.0,4.5,18.927584,72.832585,19.057584,72.962585,1,1.0,20.0,45.0,0.875,30.0,Windy,Jam,No,Metropolitian,22
37124,24.0,4.8,0.0,0.0,0.02,0.02,0,1.0,11.0,40.0,11.0,45.0,Cloudy,High,No,Urban,23
37165,30.0,4.6,11.025083,77.015393,11.095083,77.085393,0,1.0,23.0,10.0,23.0,25.0,Stormy,Low,No,Metropolitian,29
14491,20.0,4.8,26.846156,75.8023,26.986156,75.9423,2,1.0,21.0,25.0,21.0,40.0,Windy,Jam,No,Metropolitian,29
30365,30.0,4.8,12.316967,76.603067,12.346967,76.633067,1,1.0,22.0,50.0,23.0,5.0,Cloudy,Low,No,Metropolitian,16
14367,26.0,4.6,18.530963,73.828972,18.580963,73.878972,2,1.0,22.0,45.0,22.0,55.0,Windy,Low,No,Metropolitian,13
41914,29.0,4.6,15.561295,73.749478,15.631295,73.819478,2,1.0,19.0,10.0,19.0,20.0,Windy,Jam,No,Metropolitian,25
2013,20.0,4.6,26.90294,75.793007,26.93294,75.823007,2,0.0,21.0,10.0,21.0,20.0,Fog,Jam,No,Urban,21
30428,30.0,4.7,26.913483,75.803139,26.933483,75.823139,2,0.0,10.0,55.0,0.458333333,30.0,Cloudy,Low,No,Urban,18
12813,35.0,4.8,13.026286,80.275235,13.036286,80.285235,2,0.0,10.0,25.0,10.0,30.0,Fog,Low,No,Metropolitian,18
20528,32.0,4.7,26.905287,75.794592,26.975287,75.864592,0,1.0,20.0,35.0,20.0,50.0,Windy,Jam,No,Metropolitian,52
16506,30.0,4.7,12.981615,80.231598,13.041615,80.291598,1,1.0,18.0,35.0,19.0,40.0,Sunny,Medium,No,Metropolitian,33
33296,34.0,4.6,17.451976,78.385883,17.471976,78.405883,1,1.0,11.0,20.0,11.0,25.0,Cloudy,High,No,Metropolitian,28
22608,30.0,4.8,19.12663,72.829976,19.18663,72.889976,1,0.0,1.0,35.0,24.0,10.0,Sandstorms,Low,No,Metropolitian,22
38281,39.0,4.6,18.516216,73.842527,18.556216,73.882527,0,0.0,15.0,30.0,15.0,35.0,Stormy,Medium,No,Urban,33
36686,33.0,4.2,21.160437,72.774209,21.210437,72.824209,0,0.0,19.0,50.0,19.0,55.0,Windy,Jam,No,Metropolitian,41
34765,28.0,4.4,11.016298,76.972076,11.126298,77.082076,0,1.0,20.0,15.0,20.0,20.0,Windy,Jam,No,Metropolitian,38
36806,21.0,4.5,22.722634,75.886959,22.772634,75.936959,0,1.0,22.0,35.0,22.0,50.0,Windy,Low,No,Metropolitian,23
24026,24.0,4.5,12.334022,76.618203,12.364022,76.648203,0,1.0,18.0,55.0,19.0,10.0,Fog,Medium,No,Metropolitian,27
93,23.0,4.8,19.1813,72.836191,19.3113,72.966191,0,0.0,22.0,50.0,0.958333333,30.0,Windy,Low,No,Metropolitian,17
21850,38.0,4.8,12.914264,77.6784,12.924264,77.6884,1,1.0,9.0,45.0,9.0,55.0,Sunny,Low,No,Urban,13
26094,27.0,4.6,12.979166,77.640709,13.039166,77.700709,0,0.0,18.0,30.0,18.0,40.0,Sandstorms,Medium,No,Metropolitian,26
13738,38.0,4.9,23.369746,85.33982,23.499746,85.46982,0,1.0,17.0,30.0,17.0,35.0,Windy,Medium,No,Metropolitian,42
21261,32.0,4.6,0.0,0.0,0.04,0.04,0,1.0,14.0,35.0,14.0,45.0,Windy,High,No,Metropolitian,30
22216,33.0,4.7,22.74806,75.8934,22.78806,75.9334,0,0.0,13.0,55.0,14.0,10.0,Fog,High,No,Metropolitian,34
13918,29.0,4.9,22.533662,88.366217,22.583662,88.416217,1,1.0,21.0,35.0,21.0,40.0,Windy,Jam,No,Metropolitian,26
8036,29.0,4.9,13.029198,77.570997,13.039198,77.580997,0,1.0,8.0,15.0,8.0,30.0,Sunny,Low,No,Urban,12
18764,26.0,4.5,12.933298,77.614293,13.043298,77.724293,1,1.0,21.0,30.0,21.0,45.0,Windy,Jam,No,Urban,15
11768,36.0,4.6,21.186884,72.793616,21.316884,72.923616,0,1.0,19.0,45.0,19.0,50.0,Windy,Jam,No,Metropolitian,36
37976,31.0,3.7,12.323994,76.626167,12.393994,76.696167,2,1.0,21.0,55.0,22.0,10.0,Sandstorms,Jam,No,Metropolitian,44
19475,33.0,4.3,13.058616,80.264151,13.148616,80.354151,2,1.0,17.0,55.0,18.0,5.0,Fog,Medium,No,Metropolitian,35
24297,32.0,4.4,26.905287,75.794592,26.965287,75.854592,0,1.0,20.0,50.0,0.875,30.0,Stormy,Jam,No,Metropolitian,49
44491,26.0,4.6,26.956431,75.776649,26.996431,75.816649,0,1.0,0.625,35.0,15.0,10.0,Fog,High,No,Urban,21
7622,31.0,3.8,12.979096,77.640625,13.049096,77.710625,2,2.0,21.0,10.0,21.0,15.0,Sandstorms,Jam,Yes,Metropolitian,41
26368,38.0,4.6,21.173343,72.792731,21.253343,72.872731,2,1.0,0.75,35.0,18.0,15.0,Sunny,Medium,No,Metropolitian,21
33722,33.0,4.9,18.593481,73.785901,18.603481,73.795901,1,1.0,9.0,55.0,10.0,10.0,Sandstorms,Low,No,Metropolitian,25
5858,30.0,4.8,26.849596,75.800512,26.879596,75.830512,1,0.0,18.0,25.0,18.0,35.0,Windy,Medium,No,Metropolitian,28
21557,21.0,4.9,23.359033,85.325347,23.379033,85.345347,0,0.0,0.416666667,35.0,10.0,10.0,Sunny,Low,No,Urban,13
20906,27.0,4.8,19.1093,72.825451,19.1993,72.915451,2,1.0,19.0,10.0,19.0,20.0,Sunny,Jam,No,Metropolitian,16
3914,20.0,4.1,21.149834,72.778666,21.189834,72.818666,0,1.0,13.0,45.0,0.583333333,30.0,Stormy,High,No,Metropolitian,33
30542,28.0,5.0,21.157735,72.768778,21.247735,72.858778,1,1.0,1.0,35.0,24.0,15.0,Stormy,Low,No,Metropolitian,16
7971,37.0,4.1,21.175975,72.795503,21.195975,72.815503,0,1.0,10.0,50.0,10.0,55.0,Sandstorms,Low,No,Urban,30
13560,35.0,4.2,12.906229,77.596791,13.016229,77.706791,2,0.0,17.0,55.0,18.0,10.0,Windy,Medium,No,Metropolitian,38
42885,30.0,4.9,12.934179,77.615797,13.004179,77.685797,2,1.0,23.0,45.0,23.0,50.0,Sandstorms,Low,No,Metropolitian,16
3360,25.0,4.8,11.025083,77.015393,11.045083,77.035393,1,1.0,11.0,10.0,11.0,25.0,Windy,High,No,Semi-Urban,21
6336,29.0,4.6,22.31279,73.170283,22.35279,73.210283,1,0.0,14.0,10.0,14.0,20.0,Windy,High,No,Urban,28
13311,25.0,4.4,19.12663,72.829976,19.25663,72.959976,2,2.0,19.0,25.0,19.0,40.0,Cloudy,Jam,Yes,Metropolitian,42
2739,25.0,4.7,26.849596,75.800512,26.859596,75.810512,1,1.0,8.0,25.0,8.0,40.0,Sandstorms,Low,No,Metropolitian,12
33768,30.0,4.7,12.933284,77.615428,13.043284,77.725428,2,0.0,18.0,35.0,23.0,15.0,Sandstorms,Low,No,Metropolitian,26
18192,33.0,4.7,18.51421,73.838429,18.58421,73.908429,2,1.0,22.0,20.0,22.0,35.0,Stormy,Low,No,Metropolitian,22
36645,29.0,4.1,18.516216,73.842527,18.586216,73.912527,0,1.0,21.0,40.0,21.0,55.0,Sunny,Jam,No,Metropolitian,31
22021,28.0,4.5,30.899992,75.831338,31.029992,75.961338,0,0.0,23.0,30.0,23.0,40.0,Fog,Low,No,Urban,23
31109,30.0,4.7,11.02091,76.940432,11.11091,77.030432,3,1.0,18.0,35.0,20.0,40.0,Stormy,Medium,No,Metropolitian,33
31533,22.0,5.0,21.17106,72.789292,21.26106,72.879292,2,1.0,19.0,55.0,20.0,10.0,Sandstorms,Jam,No,Metropolitian,16
7180,34.0,4.0,22.553227,88.353273,22.633227,88.433273,0,0.0,22.0,25.0,22.0,40.0,Cloudy,Low,No,Metropolitian,42
34692,20.0,4.7,26.914142,75.805704,26.934142,75.825704,1,1.0,8.0,20.0,8.0,30.0,Windy,Low,No,Urban,18
16785,26.0,4.7,12.323194,76.630583,12.333194,76.640583,1,1.0,9.0,15.0,9.0,30.0,Sunny,Low,No,Metropolitian,20
9585,24.0,4.8,12.323225,76.630028,12.453225,76.760028,2,0.0,23.0,40.0,23.0,45.0,Windy,Low,No,Urban,11
7349,39.0,4.6,19.207222,72.972281,19.237222,73.002281,0,1.0,20.0,55.0,0.875,30.0,Cloudy,Jam,No,Urban,28
34988,36.0,4.2,17.424114,78.347554,17.504114,78.427554,0,2.0,20.0,25.0,20.0,30.0,Windy,Jam,No,Metropolitian,42
41056,31.0,5.0,13.02978,80.208812,13.08978,80.268812,0,2.0,21.0,25.0,21.0,35.0,Cloudy,Jam,No,Metropolitian,32
13679,36.0,4.1,9.959778,76.296106,10.089778,76.426106,0,1.0,23.0,45.0,1.0,30.0,Cloudy,Low,No,Metropolitian,40
9746,37.0,4.6,19.1093,72.825451,19.1993,72.915451,0,1.0,21.0,10.0,21.0,20.0,Sunny,Jam,No,Metropolitian,25
40341,33.0,4.8,22.307898,73.167788,22.417898,73.277788,2,1.0,17.0,55.0,18.0,10.0,Sandstorms,Medium,No,Urban,22
9255,25.0,4.6,21.160437,72.774209,21.270437,72.884209,2,0.0,22.0,45.0,0.958333333,30.0,Sandstorms,Low,No,Metropolitian,17
10198,20.0,4.9,21.175975,72.795503,21.205975,72.825503,1,1.0,23.0,45.0,23.0,55.0,Fog,Low,No,Metropolitian,18
9326,27.0,4.5,21.157729,72.768726,21.207729,72.818726,1,0.0,17.0,25.0,17.0,30.0,Sandstorms,Medium,No,Urban,21
44279,34.0,4.3,12.297954,76.665169,12.337954,76.705169,1,0.0,12.0,35.0,12.0,45.0,Fog,High,No,Metropolitian,39
43155,30.0,4.7,-18.56245,-73.916619,18.61245,73.966619,3,1.0,18.0,35.0,17.0,35.0,Sandstorms,Medium,No,Metropolitian,37
20140,20.0,4.7,18.56245,73.916619,18.59245,73.946619,1,0.0,20.0,50.0,0.875,30.0,Windy,Jam,No,Urban,12
21713,20.0,4.8,0.0,0.0,0.01,0.01,0,1.0,10.0,50.0,11.0,5.0,Cloudy,Low,No,Metropolitian,17
9855,37.0,3.7,11.016298,76.972076,11.146298,77.102076,1,1.0,19.0,55.0,0.833333333,30.0,Windy,Jam,No,Metropolitian,41
32806,28.0,4.9,13.026279,80.174568,13.106279,80.254568,2,1.0,21.0,15.0,21.0,30.0,Cloudy,Jam,No,Urban,34
32251,34.0,4.8,21.149669,72.772629,21.199669,72.822629,1,1.0,22.0,25.0,22.0,30.0,Stormy,Low,No,Urban,29
33921,25.0,4.6,22.745049,75.892471,22.785049,75.932471,2,0.0,15.0,15.0,15.0,20.0,Sunny,Medium,No,Metropolitian,12
44915,22.0,4.6,26.892312,75.806896,26.902313,75.816896,0,1.0,11.0,50.0,12.0,5.0,Cloudy,High,No,Metropolitian,29
11231,30.0,4.9,15.516833,73.768172,15.526833,73.778172,1,1.0,11.0,40.0,11.0,45.0,Sunny,High,No,Urban,19
529,39.0,3.5,12.975377,77.696664,13.055377,77.776664,2,0.0,22.0,15.0,22.0,20.0,Cloudy,Low,No,Urban,32
11843,20.0,4.6,22.311844,73.165081,22.321844,73.175081,2,1.0,11.0,35.0,11.0,45.0,Stormy,High,No,Metropolitian,12
27632,26.0,4.9,17.41233,78.449654,17.54233,78.579654,2,0.0,23.0,25.0,23.0,35.0,Sandstorms,Low,No,Semi-Urban,18
10245,35.0,4.4,22.751234,75.88949,22.811234,75.94949,0,1.0,23.0,35.0,23.0,40.0,Stormy,Low,No,Urban,28
25720,38.0,4.1,26.481547,80.299775,26.491547,80.309775,0,1.0,9.0,20.0,9.0,25.0,Sandstorms,Low,No,Metropolitian,30
36636,23.0,4.6,26.90294,75.793007,27.01294,75.903007,0,1.0,19.0,30.0,19.0,35.0,Fog,Jam,No,Metropolitian,44
16704,27.0,5.0,22.310526,73.170937,22.340526,73.200937,2,1.0,0.958333333,35.0,23.0,10.0,Sandstorms,Low,No,Urban,17
39168,36.0,4.5,26.471529,80.313458,26.611529,80.453458,1,0.0,21.0,30.0,21.0,35.0,Sunny,Jam,No,Metropolitian,33
4412,21.0,4.8,12.939496,77.625999,12.949496,77.635999,0,0.0,9.0,35.0,9.0,40.0,Cloudy,Low,No,Metropolitian,18
43091,35.0,4.8,15.5696,73.742294,15.6296,73.802294,0,0.0,0.916666667,35.0,22.0,5.0,Sunny,Jam,No,Metropolitian,26
3734,31.0,4.5,19.065838,72.832658,19.115838,72.882658,2,1.0,23.0,35.0,23.0,40.0,Stormy,Low,No,Metropolitian,29
22379,37.0,4.9,26.905287,75.794592,26.945287,75.834592,0,0.0,15.0,10.0,15.0,15.0,Cloudy,Medium,No,Metropolitian,34
651,35.0,4.7,21.160522,72.771477,21.170522,72.781477,2,1.0,0.416666667,35.0,10.0,10.0,Sunny,Low,No,Metropolitian,12
13816,34.0,4.6,23.264015,77.408236,23.324015,77.468236,2,0.0,22.0,30.0,22.0,45.0,Sandstorms,Low,No,Metropolitian,27
20744,22.0,4.9,26.911927,75.797282,26.991927,75.877282,2,1.0,17.0,45.0,17.0,50.0,Cloudy,Medium,No,Metropolitian,26
37487,39.0,5.0,0.0,0.0,0.11,0.11,2,1.0,21.0,45.0,21.0,55.0,Fog,Jam,No,Metropolitian,40
36173,22.0,4.6,18.563934,73.915367,18.603935,73.955367,0,1.0,14.0,55.0,0.625,30.0,Stormy,High,No,Metropolitian,19
7287,24.0,4.8,23.374878,85.335739,23.394878,85.355739,2,0.0,8.0,15.0,8.0,30.0,Fog,Low,No,Metropolitian,13
4485,36.0,4.8,26.902908,75.792934,26.962908,75.852934,2,1.0,20.0,55.0,0.875,30.0,Cloudy,Jam,No,Metropolitian,30
5907,28.0,5.0,11.010375,76.95295,11.090375,77.03295,2,1.0,0.958333333,35.0,23.0,10.0,Cloudy,Low,No,Metropolitian,26
4540,33.0,4.7,17.431668,78.408321,17.471668,78.448321,0,2.0,12.0,25.0,12.0,30.0,Fog,High,No,Metropolitian,33
32265,24.0,4.0,12.3085,76.665808,12.3285,76.685808,0,0.0,8.0,50.0,0.375,30.0,Stormy,Low,No,Metropolitian,20
37918,30.0,4.7,21.157735,72.768778,21.247735,72.858778,0,1.0,21.0,15.0,21.0,30.0,Windy,Jam,No,Urban,25
14881,30.0,5.0,21.186438,72.794115,21.206438,72.814115,2,1.0,8.0,25.0,8.0,40.0,Sunny,Low,No,Metropolitian,19
8070,34.0,3.7,27.160934,78.044095,27.250934,78.134095,2,1.0,21.0,20.0,21.0,30.0,Windy,Jam,No,Metropolitian,41
398,24.0,4.8,21.183434,72.814492,21.203434,72.834492,2,0.0,8.0,45.0,8.0,55.0,Cloudy,Low,No,Metropolitian,14
16201,22.0,5.0,12.323194,76.630583,12.343194,76.650583,2,0.0,10.0,55.0,0.458333333,30.0,Sunny,Low,No,Metropolitian,23
39848,30.0,4.7,22.725748,75.898497,22.735747,75.908497,3,0.0,18.0,35.0,10.0,10.0,Sandstorms,Medium,No,Metropolitian,16
40144,21.0,4.8,19.176269,72.836721,19.256269,72.916721,0,1.0,0.916666667,35.0,22.0,5.0,Sunny,Jam,No,Metropolitian,20
2256,35.0,4.8,11.001852,76.976268,11.061852,77.036268,2,0.0,23.0,20.0,23.0,25.0,Cloudy,Low,No,Metropolitian,16
16305,34.0,4.9,25.454697,81.834492,25.474697,81.854492,0,0.0,10.0,20.0,10.0,30.0,Sunny,Low,No,Urban,26
14674,28.0,4.7,22.31279,73.170283,22.36279,73.220283,2,0.0,18.0,10.0,18.0,20.0,Sunny,Medium,No,Urban,15
1547,20.0,4.8,0.0,0.0,0.03,0.03,0,0.0,21.0,40.0,21.0,45.0,Windy,Jam,No,Metropolitian,26
39875,32.0,4.9,12.970324,77.645748,13.080324,77.755748,2,1.0,22.0,35.0,22.0,45.0,Sunny,Low,No,Urban,21
17987,35.0,4.9,22.311358,73.164798,22.401358,73.254798,2,1.0,22.0,40.0,22.0,55.0,Fog,Low,No,Metropolitian,26
5326,23.0,5.0,12.972161,77.596014,13.082161,77.706014,2,1.0,17.0,45.0,0.75,30.0,Stormy,Medium,No,Metropolitian,26
42181,26.0,4.5,12.334022,76.618203,12.384022,76.668203,1,1.0,20.0,30.0,20.0,35.0,Cloudy,Jam,No,Metropolitian,21
43590,20.0,4.7,12.975996,80.221898,13.045996,80.291898,2,1.0,19.0,25.0,19.0,30.0,Cloudy,Jam,No,Metropolitian,39
37793,35.0,4.8,30.88722,75.804893,30.90722,75.824893,2,0.0,11.0,40.0,11.0,50.0,Sunny,High,No,Metropolitian,15
9553,28.0,4.6,17.429585,78.392621,17.439585,78.402621,1,1.0,11.0,50.0,11.0,55.0,Windy,High,No,Metropolitian,25
30960,22.0,5.0,21.17106,72.789292,21.20106,72.819292,0,0.0,21.0,20.0,21.0,30.0,Windy,Jam,No,Metropolitian,39
20766,27.0,4.8,13.029198,77.570997,13.069198,77.610997,2,0.0,14.0,20.0,14.0,35.0,Windy,High,No,Metropolitian,20
22628,27.0,4.9,12.906229,77.596791,13.036229,77.726791,1,0.0,20.0,50.0,21.0,5.0,Fog,Jam,Yes,Urban,42
28557,39.0,4.5,17.411028,78.329645,17.491028,78.409645,2,1.0,18.0,25.0,18.0,35.0,Windy,Medium,No,Metropolitian,31
838,32.0,3.8,21.186608,72.794136,21.296608,72.904136,2,0.0,19.0,35.0,19.0,40.0,Windy,Jam,No,Metropolitian,31
37459,27.0,4.8,19.1093,72.825451,19.1993,72.915451,0,1.0,17.0,15.0,17.0,25.0,Fog,Medium,No,Metropolitian,42
42117,32.0,4.9,22.695207,75.866059,22.755207,75.926059,2,0.0,20.0,30.0,20.0,45.0,Fog,Jam,No,Metropolitian,28
